provider_id,provider_name,city,state,latitude,longitude,services,capacity,active_jobs,utilization_pct,rating,average_response_hours,agreement_status
P0193,Ironwood Restoration 193,Detroit,MI,42.784125,-83.003871,Catch Basin Repair | Stormwater Inspection | Vactor / Jet Vac,5,0,0.0,4.2,19,Inactive
P0194,Great Lakes Environmental,Dayton,OH,39.376772,-84.273466,CCTV Inspection | Pipe Lining,11,3,27.3,4.6,20,Expiring Soon
P0195,Summit Environmental 195,Cleveland,OH,41.420117,-81.728378,Erosion Control | Stormwater Inspection,24,13,54.2,4.5,9,Pending
P0196,Great Lakes Field Services 196,Peoria,IL,40.401955,-89.235503,Pipe Lining | Vactor / Jet Vac,18,8,44.4,3.6,24,Active
P0197,Prairie Site Solutions,Fort Wayne,IN,41.209044,-85.629229,Erosion Control | Pipe Lining | Pond Maintenance,16,9,56.2,4.5,24,Active
P0198,Prairie Site Solutions 198,Fort Wayne,IN,41.256255,-85.588766,Vactor / Jet Vac,24,14,58.3,4.1,14,Active
P0199,Premier Waterworks 199,Louisville,KY,38.496456,-85.285132,CCTV Inspection | Pipe Lining | Stormwater Inspection,19,15,78.9,4.8,18,Active
P0200,Evergreen Infrastructure,Detroit,MI,42.430162,-82.800417,CCTV Inspection | Catch Basin Repair | Pond Maintenance,9,5,55.6,4.3,29,Active
P0201,Heartland Contracting 201,Evansville,IN,37.955001,-87.804472,Catch Basin Repair | Pond Maintenance,23,11,47.8,4.5,20,Active
P0202,Midwest Field Services,Peoria,IL,40.788859,-89.374575,Erosion Control,23,11,47.8,4.5,24,Active
P0203,Heartland Waterworks 203,Fort Wayne,IN,40.733552,-84.677862,Pipe Lining | Vactor / Jet Vac,8,2,25.0,3.5,8,Active
P0204,Blue River Utility Services,Peoria,IL,40.407707,-89.572305,Erosion Control,15,7,46.7,4.0,26,Inactive
P0205,Northstar Utility Services 205,Fort Wayne,IN,41.174465,-85.038265,Erosion Control | Pipe Lining,18,11,61.1,4.5,1,Active
P0206,Midwest Waterworks 206,Detroit,MI,42.229357,-83.743467,CCTV Inspection | Pond Maintenance,7,3,42.9,4.2,31,Expiring Soon
P0207,Ironwood Waterworks,Springfield,IL,40.114238,-89.585212,CCTV Inspection | Pipe Lining | Stormwater Inspection,18,8,44.4,4.4,14,Inactive
P0208,Great Lakes Field Services 208,Toledo,OH,41.65241,-83.222336,Pipe Lining,6,1,16.7,4.6,27,Active
P0209,Heartland Contracting 209,Peoria,IL,40.426258,-89.277354,CCTV Inspection | Pond Maintenance,21,13,61.9,4.2,11,Pending
P0210,Great Lakes Utility Services 210,Terre Haute,IN,39.226122,-87.585952,CCTV Inspection | Catch Basin Repair | Vactor / Jet Vac,8,6,75.0,3.8,24,Expiring Soon
P0211,Midwest Restoration 211,Indianapolis,IN,39.420708,-86.223402,Emergency Callout | Stormwater Inspection,21,11,52.4,5.0,4,Active
P0212,Heartland Drainage Group 212,South Bend,IN,42.088564,-86.20405,Emergency Callout | Pond Maintenance,17,10,58.8,4.3,24,Pending
P0213,Summit Contracting 213,South Bend,IN,41.633368,-85.786704,Catch Basin Repair | Emergency Callout,20,9,45.0,4.7,12,Active
P0214,Red Oak Municipal Services 214,Grand Rapids,MI,42.946529,-86.011128,Pipe Lining,17,10,58.8,4.9,19,Pending
P0215,Crossroads Infrastructure 215,Fort Wayne,IN,41.024172,-85.496077,CCTV Inspection | Pond Maintenance,9,4,44.4,3.5,9,Inactive
P0216,Midwest Restoration 216,Columbus,OH,40.0247,-82.576716,CCTV Inspection | Emergency Callout | Pipe Lining,24,21,87.5,3.9,35,Active
P0217,Northstar Restoration 217,Toledo,OH,41.721051,-83.586299,Pipe Lining,22,13,59.1,4.2,21,Active
P0218,Great Lakes Municipal Services,Milwaukee,WI,42.924567,-88.353895,Stormwater Inspection | Vactor / Jet Vac,4,0,0.0,4.5,16,Active
P0219,Evergreen Site Solutions 219,Lansing,MI,42.565595,-84.552778,Erosion Control | Pond Maintenance | Stormwater Inspection,4,4,100.0,4.3,12,Pending
P0220,Evergreen Drainage Group 220,Grand Rapids,MI,43.306762,-85.162761,Pipe Lining | Stormwater Inspection,18,11,61.1,4.6,33,Expiring Soon
P0221,Central Waterworks 221,Terre Haute,IN,39.783128,-87.217388,Catch Basin Repair | Pipe Lining,23,14,60.9,4.4,7,Active
P0222,Great Lakes Contracting 222,Cleveland,OH,41.695502,-82.12826,Emergency Callout | Pipe Lining | Pond Maintenance | Stormwater Inspection,21,9,42.9,4.8,29,Active
P0223,Heartland Drainage Group 223,Peoria,IL,41.110072,-89.675936,Pipe Lining | Vactor / Jet Vac,5,0,0.0,4.1,21,Inactive
P0224,Premier Site Solutions 224,Milwaukee,WI,43.061017,-87.543722,Emergency Callout | Pipe Lining | Pond Maintenance | Stormwater Inspection,14,6,42.9,4.4,9,Expiring Soon
P0225,Ironwood Field Services 225,Springfield,IL,39.907789,-89.649105,Catch Basin Repair | Pond Maintenance,4,0,0.0,4.1,17,Inactive
P0226,Central Site Solutions 226,Detroit,MI,42.255757,-82.478971,Erosion Control,5,2,40.0,4.1,1,Active
P0227,Keystone Field Services 227,Milwaukee,WI,42.788522,-87.990683,Vactor / Jet Vac,7,1,14.3,4.8,18,Active
P0228,Great Lakes Contracting 228,Dayton,OH,40.119664,-84.171855,Catch Basin Repair | Erosion Control | Vactor / Jet Vac,5,2,40.0,4.2,20,Active
P0229,Ironwood Drainage Group,Louisville,KY,38.733963,-86.500775,Emergency Callout,21,5,23.8,4.0,20,Pending
P0230,Red Oak Municipal Services 230,Milwaukee,WI,43.232129,-87.755112,CCTV Inspection,16,7,43.8,4.7,31,Expiring Soon
P0231,Ironwood Contracting 231,Cleveland,OH,41.550836,-81.38635,Catch Basin Repair | Pond Maintenance | Stormwater Inspection,16,9,56.2,3.9,27,Active
P0232,Summit Contracting 232,Fort Wayne,IN,41.110272,-85.138971,CCTV Inspection | Emergency Callout | Pond Maintenance,20,15,75.0,3.1,4,Active
P0233,Midwest Utility Services 233,Milwaukee,WI,42.70652,-88.022743,Emergency Callout | Pond Maintenance,14,6,42.9,3.5,9,Pending
P0234,Central Municipal Services 234,Grand Rapids,MI,42.722364,-84.881724,Vactor / Jet Vac,15,13,86.7,4.0,16,Active
P0235,Northstar Drainage Group 235,Chicago,IL,41.556323,-88.240402,Catch Basin Repair | Pond Maintenance | Vactor / Jet Vac,12,6,50.0,3.8,19,Active
P0236,Northstar Field Services 236,Fort Wayne,IN,40.631242,-85.383232,Stormwater Inspection,8,4,50.0,4.4,24,Active
P0237,Clearwater Environmental 237,Evansville,IN,37.601863,-87.297601,CCTV Inspection | Stormwater Inspection,17,6,35.3,4.5,19,Active
P0238,Keystone Field Services 238,Milwaukee,WI,42.653512,-88.007683,CCTV Inspection | Erosion Control | Vactor / Jet Vac,20,12,60.0,4.5,18,Active
P0239,Ironwood Waterworks 239,Springfield,IL,40.210598,-89.327697,Catch Basin Repair | Pipe Lining,21,10,47.6,4.5,41,Active
P0240,Northstar Field Services 240,Dayton,OH,40.307836,-84.58456,Catch Basin Repair,12,3,25.0,4.9,8,Active
P0241,Prairie Drainage Group 241,Toledo,OH,41.282488,-83.693482,Catch Basin Repair | Emergency Callout | Pipe Lining,15,9,60.0,4.2,12,Inactive
P0242,Evergreen Infrastructure 242,Dayton,OH,39.570121,-84.419548,Catch Basin Repair | Stormwater Inspection,15,5,33.3,5.0,23,Active
P0243,Great Lakes Infrastructure,Toledo,OH,41.901093,-83.694405,Emergency Callout | Erosion Control,12,6,50.0,3.9,1,Active
P0244,Evergreen Restoration,Grand Rapids,MI,42.577557,-86.247498,Pipe Lining | Vactor / Jet Vac,23,5,21.7,3.7,34,Active
P0245,Red Oak Restoration 245,Fort Wayne,IN,41.066858,-84.72642,Catch Basin Repair,5,3,60.0,4.6,10,Active
P0246,Heartland Utility Services 246,Springfield,IL,39.928406,-89.416911,Pipe Lining,17,7,41.2,4.5,26,Active
P0247,Prairie Drainage Group 247,Cincinnati,OH,38.949225,-84.871286,Stormwater Inspection | Vactor / Jet Vac,6,0,0.0,4.2,23,Active
P0248,Keystone Utility Services 248,Fort Wayne,IN,40.857393,-85.130893,Pipe Lining | Vactor / Jet Vac,16,10,62.5,4.5,37,Active
P0249,Keystone Environmental,Toledo,OH,42.010355,-83.858313,CCTV Inspection,14,12,85.7,4.0,31,Active
P0250,Ironwood Field Services 250,Grand Rapids,MI,42.982436,-85.799988,Pipe Lining | Pond Maintenance | Stormwater Inspection,18,4,22.2,4.1,2,Active
P0251,Midwest Utility Services 251,Evansville,IN,38.242444,-87.085726,CCTV Inspection | Erosion Control | Pond Maintenance,4,0,0.0,4.3,12,Expiring Soon
P0252,Red Oak Site Solutions 252,Lansing,MI,42.556524,-84.307662,Stormwater Inspection,17,9,52.9,5.0,14,Active
P0253,Red Oak Infrastructure 253,Lexington,KY,38.320414,-84.472528,Pipe Lining,19,12,63.2,4.0,19,Inactive
P0254,Evergreen Waterworks 254,Indianapolis,IN,39.73606,-86.425638,Pond Maintenance,14,9,64.3,4.5,26,Active
P0255,Blue River Drainage Group 255,Lansing,MI,43.16285,-84.09171,Catch Basin Repair | Vactor / Jet Vac,7,2,28.6,4.4,13,Active
P0256,Red Oak Restoration 256,Lexington,KY,38.047139,-84.69562,Erosion Control | Pipe Lining | Pond Maintenance | Vactor / Jet Vac,15,13,86.7,4.4,17,Active
P0257,Central Utility Services,Lafayette,IN,40.750913,-87.569897,Catch Basin Repair | Erosion Control,21,5,23.8,4.6,20,Expiring Soon
P0258,Prairie Site Solutions 258,Cincinnati,OH,39.173225,-84.936447,CCTV Inspection | Pond Maintenance,18,9,50.0,5.0,29,Expiring Soon
P0259,Keystone Municipal Services 259,South Bend,IN,41.723918,-86.392497,Catch Basin Repair,22,10,45.5,3.2,22,Active
P0260,Crossroads Restoration 260,Cleveland,OH,41.736035,-82.198598,Catch Basin Repair | Erosion Control,22,10,45.5,3.7,9,Active
P0261,Central Environmental 261,Detroit,MI,42.346375,-83.712809,Catch Basin Repair | Stormwater Inspection,22,13,59.1,4.5,17,Active
P0262,Great Lakes Environmental 262,Toledo,OH,40.958202,-83.856754,Erosion Control | Vactor / Jet Vac,10,9,90.0,2.9,16,Active
P0263,Midwest Infrastructure 263,Chicago,IL,41.5477,-87.372338,Emergency Callout | Vactor / Jet Vac,19,8,42.1,4.4,26,Active
P0264,Prairie Utility Services 264,Terre Haute,IN,39.980843,-87.478841,Catch Basin Repair | Pipe Lining | Stormwater Inspection,18,11,61.1,3.5,33,Active
P0265,Summit Contracting 265,Grand Rapids,MI,42.750458,-85.847541,Stormwater Inspection,20,10,50.0,3.5,22,Expiring Soon
P0266,Crossroads Environmental 266,Columbus,OH,40.232091,-82.905061,Catch Basin Repair | Erosion Control | Pond Maintenance,21,6,28.6,4.1,28,Active
P0267,Clearwater Field Services 267,Columbus,OH,39.435363,-83.342725,CCTV Inspection | Pond Maintenance,7,6,85.7,4.3,24,Expiring Soon
P0268,Northstar Environmental 268,Chicago,IL,42.398759,-87.479863,CCTV Inspection,7,5,71.4,5.0,17,Active
P0269,Red Oak Environmental 269,Milwaukee,WI,42.815493,-87.769605,Vactor / Jet Vac,16,10,62.5,4.0,8,Active
P0270,Prairie Environmental,Cincinnati,OH,39.749856,-84.40741,Pond Maintenance,11,3,27.3,4.6,18,Active
P0271,Prairie Contracting,Milwaukee,WI,42.968093,-87.726573,Pipe Lining,20,7,35.0,4.4,41,Active
P0272,Blue River Restoration,Dayton,OH,39.88943,-84.311988,Catch Basin Repair | Erosion Control | Pipe Lining | Stormwater Inspection,21,10,47.6,4.0,17,Active
P0273,Red Oak Waterworks 273,Louisville,KY,38.146914,-85.46528,Catch Basin Repair | Emergency Callout | Erosion Control,17,4,23.5,4.6,15,Active
P0274,Prairie Restoration,Terre Haute,IN,39.572245,-87.774536,Catch Basin Repair | Pipe Lining,8,8,100.0,4.8,30,Pending
P0275,Premier Waterworks 275,Grand Rapids,MI,42.539269,-85.402781,Catch Basin Repair | Pipe Lining,11,7,63.6,3.5,19,Active
P0276,Keystone Field Services 276,South Bend,IN,41.77847,-86.074056,CCTV Inspection | Erosion Control | Pond Maintenance,10,6,60.0,4.3,36,Active
P0277,Northstar Environmental 277,Milwaukee,WI,43.382189,-88.823958,Catch Basin Repair | Pond Maintenance | Stormwater Inspection,21,10,47.6,4.1,1,Active
P0278,Evergreen Environmental,Cleveland,OH,41.525671,-81.294798,Catch Basin Repair,7,0,0.0,4.4,9,Pending
P0279,Great Lakes Site Solutions 279,Milwaukee,WI,42.850765,-87.433734,Catch Basin Repair | Pond Maintenance,14,6,42.9,4.4,1,Active
P0280,Red Oak Contracting,Grand Rapids,MI,43.484849,-85.475251,Erosion Control | Pond Maintenance,19,9,47.4,4.5,4,Active
P0281,Prairie Contracting 281,Springfield,IL,40.112809,-89.753775,Catch Basin Repair | Erosion Control | Pipe Lining,5,2,40.0,4.0,13,Pending
P0282,Blue River Drainage Group 282,Lafayette,IN,40.611208,-86.79341,Pipe Lining | Stormwater Inspection,8,6,75.0,4.2,25,Active
P0283,Northstar Site Solutions 283,Lexington,KY,37.923322,-83.790186,Erosion Control | Pipe Lining,19,5,26.3,4.8,35,Active
P0284,Summit Utility Services 284,Louisville,KY,38.014096,-85.045132,CCTV Inspection | Emergency Callout | Pond Maintenance,24,16,66.7,4.6,20,Active
P0285,Crossroads Environmental 285,South Bend,IN,41.615577,-86.319011,CCTV Inspection | Erosion Control | Stormwater Inspection,11,7,63.6,4.8,21,Expiring Soon
P0286,Clearwater Restoration,Indianapolis,IN,39.513196,-85.894283,Pond Maintenance | Vactor / Jet Vac,24,15,62.5,4.5,28,Pending
P0287,Blue River Environmental 287,Springfield,IL,39.70584,-89.947377,Stormwater Inspection | Vactor / Jet Vac,4,0,0.0,3.5,22,Expiring Soon
P0288,Evergreen Environmental 288,Grand Rapids,MI,42.940034,-85.808896,Emergency Callout | Stormwater Inspection,9,0,0.0,3.6,32,Pending
P0289,Summit Site Solutions 289,Detroit,MI,42.145305,-82.930411,Pond Maintenance,15,4,26.7,4.8,18,Expiring Soon
P0290,Midwest Waterworks 290,South Bend,IN,41.757611,-85.50775,Catch Basin Repair | Erosion Control,11,10,90.9,4.1,13,Expiring Soon
P0291,Red Oak Environmental 291,South Bend,IN,41.585247,-86.088833,Stormwater Inspection,16,8,50.0,4.0,36,Active
P0292,Great Lakes Utility Services 292,Indianapolis,IN,39.736421,-85.422231,Stormwater Inspection,24,13,54.2,5.0,23,Active
P0293,Keystone Restoration 293,Evansville,IN,38.241229,-87.802976,CCTV Inspection | Catch Basin Repair | Erosion Control,22,9,40.9,4.4,30,Active
P0294,Red Oak Drainage Group 294,South Bend,IN,41.687672,-86.663646,CCTV Inspection | Pipe Lining | Vactor / Jet Vac,4,0,0.0,3.6,1,Active
P0295,Keystone Infrastructure 295,Lexington,KY,38.071256,-84.143686,Catch Basin Repair,22,12,54.5,3.2,17,Active
P0296,Midwest Waterworks 296,Grand Rapids,MI,42.917816,-84.99738,Erosion Control | Pipe Lining | Stormwater Inspection,6,0,0.0,4.0,38,Expiring Soon
P0297,Blue River Infrastructure 297,Louisville,KY,38.378694,-85.57824,CCTV Inspection | Pipe Lining,23,12,52.2,4.3,28,Inactive
P0298,Prairie Contracting 298,Lexington,KY,37.813944,-84.222721,Pond Maintenance,18,5,27.8,4.3,21,Active
P0299,Premier Waterworks 299,Grand Rapids,MI,42.790838,-85.675359,Stormwater Inspection,6,1,16.7,3.7,16,Active
P0300,Great Lakes Infrastructure 300,Columbus,OH,39.652083,-82.895505,Pipe Lining,16,5,31.2,4.5,7,Expiring Soon
